# Individual,Machine
data scientist loses,46.750000
data scientist loses,37.500000
data scientist loses,55.250000
data scientist wins,32.750000
data scientist loses,14.000000
data scientist loses,9.250000
data scientist loses,65.750000
data scientist loses,61.000000
data scientist loses,55.500000
data scientist loses,26.750000
data scientist loses,-8.250000
data scientist loses,-29.500000
data scientist loses,84.000000
data scientist loses,-10.500000
data scientist loses,24.250000
data scientist loses,-0.750000
data scientist loses,68.750000
data scientist loses,75.000000
data scientist loses,35.000000
data scientist loses,99.750000
data scientist loses,54.750000
data scientist loses,59.250000
data scientist loses,3.000000
data scientist loses,53.000000
data scientist loses,27.500000
data scientist loses,31.000000
data scientist loses,50.750000
data scientist loses,2.000000
data scientist loses,31.500000
data scientist loses,105.250000
data scientist loses,69.250000
data scientist loses,48.000000
data scientist loses,47.250000
data scientist loses,21.250000
data scientist loses,17.000000
data scientist loses,27.750000
data scientist loses,67.250000
data scientist loses,57.750000
data scientist loses,43.250000
data scientist loses,71.500000
data scientist loses,40.000000
data scientist loses,19.250000
data scientist loses,47.250000
data scientist wins,3.500000
data scientist loses,23.500000
data scientist loses,30.500000
data scientist loses,61.750000
data scientist loses,38.750000
data scientist loses,51.250000
data scientist loses,44.250000
data scientist loses,0.750000
data scientist loses,22.000000
data scientist loses,43.500000
data scientist loses,-35.750000
data scientist loses,24.250000
data scientist loses,44.750000
data scientist loses,102.000000
data scientist loses,44.000000
data scientist loses,25.500000
data scientist loses,34.500000
data scientist loses,12.000000
data scientist loses,29.000000
data scientist loses,40.250000
data scientist loses,37.000000
data scientist loses,-6.250000
data scientist loses,93.750000
data scientist loses,65.250000
data scientist loses,-3.500000
data scientist loses,43.500000
data scientist loses,-3.500000
data scientist loses,66.250000
data scientist loses,19.250000
data scientist loses,79.500000
data scientist loses,3.250000
data scientist loses,-17.250000
data scientist loses,32.500000
data scientist loses,3.500000
data scientist loses,28.750000
data scientist loses,9.500000
data scientist loses,83.250000
data scientist loses,48.750000
data scientist loses,6.000000
data scientist wins,75.000000
data scientist loses,35.500000
data scientist loses,15.250000
data scientist loses,-27.000000
data scientist loses,9.750000
data scientist loses,69.000000
data scientist loses,-25.500000
data scientist loses,67.750000
data scientist loses,50.750000
data scientist loses,19.750000
data scientist loses,60.250000
data scientist loses,44.000000
data scientist loses,-25.500000
data scientist loses,48.250000
data scientist loses,26.500000
data scientist loses,66.500000
data scientist loses,32.000000
data scientist loses,17.250000
data scientist wins,9.250000
data scientist loses,25.500000
data scientist loses,51.500000
data scientist loses,36.750000
data scientist loses,41.000000
data scientist loses,49.250000
data scientist loses,84.500000
data scientist loses,50.750000
data scientist loses,48.500000
data scientist loses,18.000000
data scientist loses,19.000000
data scientist loses,78.750000
data scientist loses,9.750000
data scientist loses,53.500000
data scientist loses,27.000000
data scientist loses,34.000000
data scientist loses,12.500000
data scientist loses,37.250000
data scientist loses,100.750000
data scientist loses,6.750000
data scientist loses,91.000000
data scientist loses,21.250000
data scientist loses,37.000000
data scientist loses,46.500000
data scientist wins,76.500000
data scientist loses,-5.750000
data scientist loses,73.500000
data scientist loses,83.500000
data scientist loses,35.000000
data scientist loses,43.500000
data scientist loses,62.500000
data scientist loses,43.000000
data scientist loses,20.250000
data scientist loses,31.250000
data scientist loses,81.750000
data scientist loses,75.250000
data scientist loses,24.250000
data scientist loses,9.750000
data scientist loses,39.750000
data scientist loses,0.250000
data scientist loses,5.500000
data scientist loses,15.000000
data scientist loses,43.000000
data scientist loses,36.500000
data scientist loses,74.250000
data scientist loses,62.750000
data scientist loses,26.250000
data scientist loses,48.500000
data scientist loses,44.750000
data scientist loses,91.500000
data scientist loses,55.500000
data scientist loses,36.500000
data scientist loses,30.250000
data scientist loses,41.000000
data scientist loses,18.000000
data scientist loses,7.250000
data scientist loses,-0.500000
data scientist loses,31.750000
data scientist loses,71.500000
data scientist loses,45.500000
data scientist loses,52.000000
data scientist loses,80.000000
data scientist loses,0.750000
data scientist wins,44.750000
data scientist loses,61.250000
data scientist loses,33.500000
data scientist loses,41.500000
data scientist loses,47.250000
data scientist loses,53.750000
data scientist loses,38.500000
data scientist loses,59.750000
data scientist loses,38.500000
data scientist loses,86.250000
data scientist loses,95.000000
data scientist loses,-18.250000
data scientist loses,105.000000
data scientist loses,66.750000
data scientist loses,45.000000
data scientist loses,1.250000
data scientist loses,106.750000
data scientist loses,47.750000
data scientist loses,45.250000
data scientist wins,17.750000
data scientist loses,76.250000
data scientist loses,-6.750000
data scientist loses,37.000000
data scientist loses,79.500000
data scientist loses,7.000000
data scientist loses,20.500000
data scientist loses,26.000000
data scientist loses,51.250000
data scientist loses,73.500000
data scientist loses,22.000000
data scientist loses,34.000000
data scientist loses,12.750000
data scientist loses,13.250000
data scientist loses,34.000000
data scientist loses,67.250000
data scientist loses,20.750000
data scientist loses,59.500000
data scientist loses,49.250000
data scientist loses,37.750000
data scientist loses,33.250000
data scientist loses,-19.250000
data scientist loses,-39.500000
data scientist loses,47.250000
data scientist loses,10.250000
data scientist loses,65.250000
data scientist loses,47.000000
data scientist loses,54.250000
data scientist loses,42.000000
data scientist wins,53.250000
data scientist loses,24.500000
data scientist loses,56.000000
data scientist loses,37.500000
data scientist loses,34.750000
data scientist loses,4.500000
data scientist loses,93.750000
data scientist loses,37.500000
data scientist loses,27.500000
data scientist loses,34.000000
data scientist loses,73.000000
data scientist loses,31.250000
data scientist loses,81.500000
data scientist loses,56.500000
data scientist loses,14.500000
data scientist loses,2.250000
data scientist loses,35.500000
data scientist loses,23.750000
data scientist loses,2.750000
data scientist loses,18.750000
data scientist loses,-4.000000
data scientist loses,0.000000
data scientist loses,18.250000
data scientist loses,59.250000
data scientist loses,-4.750000
data scientist loses,15.500000
data scientist loses,25.250000
data scientist loses,57.750000
data scientist loses,23.500000
data scientist loses,-24.250000
data scientist loses,34.750000
data scientist loses,62.750000
data scientist loses,16.500000
data scientist loses,14.000000
data scientist loses,45.500000
data scientist loses,37.750000
data scientist loses,52.250000
data scientist loses,31.250000
data scientist loses,51.250000
data scientist loses,59.750000
data scientist loses,0.750000
data scientist loses,61.500000
data scientist loses,39.750000
data scientist loses,30.750000
data scientist loses,53.000000
data scientist loses,24.500000
data scientist loses,49.500000
data scientist loses,38.000000
data scientist loses,67.000000
data scientist loses,71.750000
data scientist loses,67.500000
data scientist loses,15.250000
data scientist loses,38.500000
data scientist loses,78.750000
data scientist loses,14.250000
data scientist loses,55.500000
data scientist loses,-7.750000
data scientist loses,92.750000
data scientist loses,51.500000
data scientist loses,62.750000
data scientist loses,20.500000
data scientist loses,-14.500000
data scientist loses,18.250000
data scientist wins,27.500000
data scientist loses,38.500000
data scientist loses,56.500000
data scientist wins,18.500000
data scientist loses,48.250000
data scientist loses,25.000000
data scientist wins,54.500000
data scientist loses,38.500000
data scientist loses,46.500000
data scientist loses,57.250000
data scientist loses,12.500000
data scientist loses,56.500000
data scientist loses,104.500000
data scientist loses,78.250000
data scientist loses,24.500000
data scientist loses,33.500000
data scientist loses,42.250000
data scientist loses,14.250000
data scientist loses,22.000000
data scientist loses,73.500000
data scientist loses,30.750000
data scientist loses,43.500000
data scientist loses,-23.250000
data scientist loses,35.000000
data scientist loses,34.500000
data scientist loses,-41.000000
data scientist loses,30.000000
data scientist loses,39.250000
data scientist loses,33.000000
data scientist loses,-7.750000
data scientist loses,68.250000
data scientist loses,52.500000
data scientist loses,62.000000
data scientist loses,57.250000
data scientist loses,-1.250000
data scientist loses,-43.500000
data scientist loses,25.500000
data scientist loses,65.250000
data scientist loses,34.750000
data scientist loses,23.500000
data scientist loses,55.250000
data scientist loses,25.750000
data scientist loses,77.250000
data scientist loses,28.250000
data scientist loses,29.250000
data scientist loses,59.750000
data scientist loses,36.500000
data scientist loses,15.500000
data scientist loses,47.500000
data scientist loses,10.000000
data scientist loses,39.750000
data scientist loses,95.500000
data scientist loses,12.250000
data scientist loses,51.000000
data scientist loses,37.000000
data scientist loses,18.250000
data scientist loses,64.500000
data scientist loses,50.750000
data scientist loses,-3.000000
data scientist loses,58.250000
data scientist loses,60.750000
data scientist loses,28.000000
data scientist loses,43.500000
data scientist loses,-5.250000
data scientist loses,64.250000
data scientist loses,32.500000
data scientist loses,-19.000000
data scientist loses,21.500000
data scientist loses,38.500000
data scientist loses,40.750000
data scientist loses,43.500000
data scientist loses,44.750000
data scientist loses,50.000000
data scientist loses,78.000000
data scientist loses,17.500000
data scientist loses,48.000000
data scientist loses,76.500000
data scientist loses,8.250000
data scientist wins,1.750000
data scientist loses,67.250000
data scientist loses,46.750000
data scientist loses,-17.000000
data scientist loses,60.750000
data scientist loses,5.750000
data scientist loses,40.750000
data scientist loses,46.750000
data scientist loses,4.250000
data scientist loses,56.000000
data scientist loses,29.750000
data scientist loses,30.250000
data scientist loses,37.000000
