# wavelength (nm),color
458.094791,blue
622.925603,orange
581.438680,yellow
671.545008,red
701.777648,red
629.970209,red
462.657148,blue
586.838885,yellow
523.050034,green
0.405673,violet
456.738667,blue
718.852264,red
510.994216,green
712.415216,red
391.792879,violet
667.954932,red
532.794217,green
476.680558,blue
645.694207,red
474.439995,blue
542.914407,green
582.536102,yellow
516.314826,green
512.972259,green
381.756577,violet
455.469486,blue
687.784500,red
515.156565,green
702.483116,red
740.314086,red
621.753867,orange
645.166771,red
686.643274,red
646.341691,red
605.221465,orange
415.046589,violet
469.483798,blue
669.645112,red
516.279104,green
387.456235,violet
574.484296,yellow
675.678094,red
594.132501,orange
731.615082,red
482.091072,blue
677.148650,red
574.203493,yellow
670.273071,red
430.770915,violet
657.422906,red
486.814753,cyan
464.572903,blue
677.384175,red
520.238117,green
569.369760,yellow
582.672844,yellow
649.975245,red
539.411736,green
601.835837,orange
577.472194,yellow
409.823307,violet
689.559959,red
685.898468,red
644.811296,red
744.840629,red
632.654683,red
544.493978,green
709.558449,red
744.950556,red
545.470811,green
719.661167,red
544.133822,green
721.374920,red
684.801385,red
709.572477,red
697.241527,red
737.073119,red
718.144717,red
668.617780,red
400.999876,violet
591.314530,orange
398.260541,violet
527.498951,green
605.690558,orange
568.279153,yellow
743.879538,red
424.076486,violet
645.532909,red
610.991323,orange
739.841348,red
649.906154,red
674.030966,red
697.342304,red
549.107930,green
433.918399,violet
595.860261,orange
393.178378,violet
497.498367,cyan
641.965925,red
589.258133,yellow
