# Model,Year,Power (kW),MaxSpeed (m/s)
Benz Patent-Motorwagen 1,1885,0.5,4
Benz Elegant,1900,4,11
Mercedes-Benz 15/70/100 PS,1924,51,29
Mercedes-Benz W02,1926,28,21
Mercedes-Benz W11,1929,37,25
Mercedes-Benz Type Mannheim 370,1929,55,28
Mercedes-Benz W21,1933,29,26
Mercedes-Benz 130 (W23),1934,19,26
Mercedes-Benz 170 VG,1935,16,22
Mercedes-Benz 170 S,1949,38,34
Mercedes-Benz W187,1951,59,39
Mercedes-Benz Typ 300,1951,40,28
Mercedes-Benz W198 (Coupe),1954,158,60
Mercedes-Benz 111,1959,82,46
Mercedes-Benz G-class (200 GE),1986,87,39
Mercedes-Benz G-class (230 GE),1990,93,40
Mercedes-Benz W140 (300 SE 208),1991,170,63
Mercedes-Benz W140,1992,142,58
Mercedes-Benz (1.6 82),2002,60,43
Mercedes-Benz Viano 2 CDI,2004,80,44
Mercedes-Benz Viano 3 CDI,2006,150,55
Mercedes-Benz R-class (280),2007,172,62
Mercedes-Benz CLA-class (180),2013,90,58
Mercedes-Benz V-class (250 d),2019,140,55
Mercedes-Benz C220,2021,147,68
