Name,Position,Playing Time,Goals,Assists,Shots,Passes,Fouls
Alphonso Davies,Unknown,"1,740",0,0.16,0.93,58.2,0.78
Benjamin Pavard,DF,"2,076",0,0.04,0.82,79,0.78
Corentin Tolisso,DF,703,0.26,0.13,2.31,62.7,2.18
Dayot Upamecano,DF,"2,211",0.04,0.24,0.41,83.3,1.34
Eric Maxim Choupo-Moting,FW,377,0.95,0.48,3.57,24,2.14
Jamal Musiala,FW,"1,465",0.31,0.31,2.64,37.8,1.04
Joshua Kimmich,DF,"2,474",0.11,0.33,0.98,80,0.84
Josip Stanišić,DF,644,0.14,0,0.56,71.9,0.83
Kingsley Coman,FW,"1,359",0.4,0.13,3.05,37.2,0.73
Leon Goretzka,DF,"1,396",0.19,0.19,2.97,47.9,0.9
Leroy Sané,FW,"1,976",0.32,0.32,4.05,38.7,1.18
Lucas Hernández,DF,"2,030",0,0.04,0.18,78.5,1.02
Manuel Neuer,GK,"2,510",0,0,0,38.9,0
Marc Roca,DF,379,0,0,1.19,61,3.81
Marcel Sabitzer,DF,905,0.1,0.1,1.88,57.5,1.68
Niklas Süle,DF,"1,837",0.05,0.1,0.78,77.1,0.54
Omar Richards,DF,438,0,0,0.82,64.5,3.06
Robert Lewandowski,FW,"2,946",1.07,0.09,4.8,18,0.76
Serge Gnabry,FW,"2,185",0.58,0.21,2.8,44,0.53
Sven Ulreich,GK,540,0,0,0,33.3,0
Tanguy Nianzou,DF,582,0.15,0.15,1.08,74.9,2
Thomas Müller,FW,"2,558",0.28,0.63,1.94,39.8,0.56
