store_name,store_addr,city,phone,book_genre
book haven's,123 elm street,los angeles,4175985908,scifi
the reading nook store,789 maple lane,chicago,4253884998,fantassyi
paperback palace s,123 elm street,chicago,4473103091,fantassy
book haven,456 oak avenue,san francisco,4451410871,nonfiction
the reading nook s,404 spruce street,san francisco,4540568499,fantassy
fiction addiction s,707 aspen drive,chicago,4352478075,nonfiction
literary escapes,505 willow way,chicago,2651191071,biographyy
bibliophile corner ,505 willow way,new york,9561345589,fiction
the reading nook,101 pine circle,seattle,4490578637,fiction
the bookmark,303 cedar crescent,san francisco,6804106184,mysteryy
storybound,789 maple lane,new york,8154852073,romancen
paperback palace,789 maple lane,chicago,4118361982,fiction
literary escapes,456 oak avenue,seattle,8162235958,scifiy
book haven,606 cherry avenue,chicago,7254910012,scifi
bibliophile corner store,456 oak avenue,chicago,3447534853,fiction
storybound,707 aspen drive,los angeles,6347033531,nonfictiona
chapter one,707 aspen drive,san francisco,5460896382,romance
chapter one,606 cherry avenue,seattle,8373258225,fantassy
literary escapes ,456 oak avenue,chicago,4501559391,nonfictiony
bibliophile corner,101 pine circle,san francisco,7886773499,romance
