,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Longitude,Latitude,Sales_Price
0,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,141.0,31770.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Average,1960.0,1960.0,Hip,CompShg,BrkFace,Plywood,Stone,112.0,Typical,Typical,CBlock,Typical,Good,Gd,BLQ,2,Unf,0.0,441.0,1080.0,GasA,Fair,Y,SBrkr,1656.0,0.0,0.0,1656.0,1,0,1,0,3,1,Typical,7,Typ,2,Good,Attchd,Fin,2,528.0,Typical,Typical,Partial_Pavement,210.0,62.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,5,2010.0,WD ,Normal,-93.619754,42.054035,215000.0
1,One_Story_1946_and_Newer_All_Styles,Residential_High_Density,80.0,11622.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Feedr,Norm,OneFam,One_Story,Average,Above_Average,1961.0,1961.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,LwQ,144.0,270.0,882.0,GasA,Typical,Y,SBrkr,896.0,0.0,0.0,896.0,0,0,1,0,2,1,Typical,5,Typ,0,No_Fireplace,Attchd,Unf,1,730.0,Typical,Typical,Paved,140.0,0.0,0.0,0.0,120.0,0.0,No_Pool,Minimum_Privacy,None,0.0,6,2010.0,WD ,Normal,-93.619756,42.053014,105000.0
2,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,81.0,14267.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Above_Average,1958.0,1958.0,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0.0,406.0,1329.0,GasA,Typical,Y,SBrkr,1329.0,0.0,0.0,1329.0,0,0,1,1,3,1,Good,6,Typ,0,No_Fireplace,Attchd,Unf,1,312.0,Typical,Typical,Paved,393.0,36.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,Gar2,12500.0,6,2010.0,WD ,Normal,-93.6193873,42.052659,172000.0
3,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,93.0,11160.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Good,Average,1968.0,1968.0,Hip,CompShg,BrkFace,BrkFace,None,0.0,Good,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0.0,1045.0,2110.0,GasA,Excellent,Y,SBrkr,2110.0,0.0,0.0,2110.0,1,0,2,1,3,1,Excellent,8,Typ,2,Typical,Attchd,Fin,2,522.0,Typical,Typical,Paved,0.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,4,2010.0,WD ,Normal,-93.61732,42.051245,244000.0
4,Two_Story_1946_and_Newer,Residential_Low_Density,74.0,13830.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Average,Average,1997.0,1998.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Typical,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0.0,137.0,928.0,GasA,Good,Y,SBrkr,928.0,701.0,0.0,1629.0,0,0,2,1,3,1,Typical,6,Typ,1,Typical,Attchd,Fin,2,482.0,Typical,Typical,Paved,212.0,34.0,0.0,0.0,0.0,0.0,No_Pool,Minimum_Privacy,None,0.0,3,2010.0,WD ,Normal,-93.638933,42.060899,189900.0
5,Two_Story_1946_and_Newer,Residential_Low_Density,78.0,9978.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Above_Average,Above_Average,1998.0,1998.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,Typical,Typical,PConc,Typical,Typical,No,GLQ,3,Unf,0.0,324.0,926.0,GasA,Excellent,Y,SBrkr,926.0,678.0,0.0,1604.0,0,0,2,1,3,1,Good,7,Typ,1,Good,Attchd,Fin,2,470.0,Typical,Typical,Paved,360.0,36.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,6,2010.0,WD ,Normal,-93.638925,42.060779,195500.0
6,One_Story_PUD_1946_and_Newer,Residential_Low_Density,41.0,4920.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Very_Good,Average,2001.0,2001.0,Gable,CompShg,CemntBd,CmentBd,None,0.0,Good,Typical,PConc,Good,Typical,Mn,GLQ,3,Unf,0.0,722.0,1338.0,GasA,Excellent,Y,SBrkr,1338.0,0.0,0.0,1338.0,1,0,2,0,2,1,Good,6,Typ,0,No_Fireplace,Attchd,Fin,2,582.0,Typical,Typical,Paved,0.0,0.0,170.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,4,2010.0,WD ,Normal,-93.633792,42.062978,213500.0
7,One_Story_PUD_1946_and_Newer,Residential_Low_Density,43.0,5005.0,Pave,No_Alley_Access,Slightly_Irregular,HLS,AllPub,Inside,Gtl,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Very_Good,Average,1992.0,1992.0,Gable,CompShg,HdBoard,HdBoard,None,0.0,Good,Typical,PConc,Good,Typical,No,ALQ,1,Unf,0.0,1017.0,1280.0,GasA,Excellent,Y,SBrkr,1280.0,0.0,0.0,1280.0,0,0,2,0,2,1,Good,5,Typ,0,No_Fireplace,Attchd,RFn,2,506.0,Typical,Typical,Paved,0.0,82.0,0.0,0.0,144.0,0.0,No_Pool,No_Fence,None,0.0,1,2010.0,WD ,Normal,-93.633826,42.060728,191500.0
8,One_Story_PUD_1946_and_Newer,Residential_Low_Density,39.0,5389.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Very_Good,Average,1995.0,1996.0,Gable,CompShg,CemntBd,CmentBd,None,0.0,Good,Typical,PConc,Good,Typical,No,GLQ,3,Unf,0.0,415.0,1595.0,GasA,Excellent,Y,SBrkr,1616.0,0.0,0.0,1616.0,1,0,2,0,2,1,Good,5,Typ,1,Typical,Attchd,RFn,2,608.0,Typical,Typical,Paved,237.0,152.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,3,2010.0,WD ,Normal,-93.632852,42.06112,236500.0
9,Two_Story_1946_and_Newer,Residential_Low_Density,60.0,7500.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Good,Average,1999.0,1999.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Typical,Typical,PConc,Typical,Typical,No,Unf,7,Unf,0.0,994.0,994.0,GasA,Good,Y,SBrkr,1028.0,776.0,0.0,1804.0,0,0,2,1,3,1,Good,7,Typ,1,Typical,Attchd,Fin,2,442.0,Typical,Typical,Paved,140.0,60.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,None,0.0,6,2010.0,WD ,Normal,-93.639068,42.059193,189000.0
